id,name,description,price,imageUrl,category,recipients,occasions,budgetRange,amazonUrl,rakutenUrl,tags,priority,isPublished,productUrl
prod_001,ロクシタン ハンドクリーム GIFT FOR YOU ギフトセット,ミニサイズのハンドクリーム4本ギフトセット。ホリデーだけの4種類の香りを楽しめるショッパーバッグ付き。,2970,/images/products/handcream.jpg,コスメ,"彼女,妻,母,友人女性,同僚","誕生日,クリスマス,ホワイトデー,母の日,お礼","〜3,000円",https://www.amazon.co.jp/dp/B0DJMMJSPZ,,"コスメ,ハンドクリーム,女性向け,ギフトセット,ロクシタン",95,true,
prod_002,パーカー ジョッター ボールペン ブラックCT,ビジネスシーンで活躍する、書き心地抜群の高級ボールペン。トレードマークの矢羽クリップが特徴。,2750,/images/products/pen.jpg,雑貨,"彼氏,夫,父,上司,同僚","誕生日,父の日,就職祝い,退職祝い","〜3,000円",https://www.amazon.co.jp/dp/B01KZHW0Z0,,"ビジネス,文房具,男性向け,高級,パーカー",88,true,
prod_014,ヨックモック シガール プティ サンク デリス 詰め合わせ,バターの風味豊かでサクサクな洋菓子詰め合わせ。子どもも大人も喜ぶ定番ギフト。,2700,/images/products/sweets.jpg,グルメ,"友人男性,友人女性,同僚,子供","お礼,誕生日","〜3,000円",https://www.amazon.co.jp/s?k=ヨックモック+シガール+ギフト,,"グルメ,お菓子,詰め合わせ,ヨックモック",80,true,
prod_008,CLAYD 入浴剤 ギフトセット ONETIME,天然クレイを使用した高級入浴剤。一日の疲れを癒す、贅沢なバスタイムを演出。,3850,/images/products/bath.jpg,コスメ,"彼女,妻,母,友人女性,同僚","誕生日,お礼,ホワイトデー,母の日","3,000〜5,000円",https://www.amazon.co.jp/s?k=入浴剤+ギフト+高級,https://search.rakuten.co.jp/search/mall/入浴剤+ギフト+3000円/,"コスメ,入浴剤,リラックス,女性向け",85,true,
prod_010,ゴディバ ゴールドコレクション チョコレートアソート,ショコラティエが手がける本格派チョコレート。特別な日に贈りたい高級感のある味わい。,4320,/images/products/chocolate.jpg,グルメ,"彼氏,彼女,上司,同僚,友人男性,友人女性","バレンタイン,ホワイトデー,お礼,誕生日","3,000〜5,000円",https://www.amazon.co.jp/s?rh=n%3A4522771051%2Cp_89%3AGODIVA,,"グルメ,チョコレート,スイーツ,高級,ゴディバ",86,true,
prod_003,無印良品 水を使わないアロマディフューザー,エッセンシャルオイルを原液のまま噴霧し、本来の香りを楽しめる。約4.5〜8畳対応、タイマー機能付き。,4990,/images/products/aroma.jpg,インテリア,"彼女,妻,母,友人女性","誕生日,クリスマス,記念日,母の日,お礼","3,000〜5,000円",https://www.amazon.co.jp/s?k=無印良品+アロマディフューザー,https://search.rakuten.co.jp/search/mall/無印良品+アロマディフューザー/,"インテリア,アロマ,女性向け,リラックス,無印良品",88,true,
prod_005,やさしいごちそう グルメカタログギフト 緑のえだまめ,4年連続ギフト大賞受賞。全国の美味しいものを自分で選べる人気のカタログギフト。,5500,/images/products/catalog.jpg,グルメ,"父,母,上司,同僚","お礼,退職祝い,結婚祝い,出産祝い","5,000〜10,000円",https://www.amazon.co.jp/s?k=グルメカタログギフト+5000円,https://search.rakuten.co.jp/search/mall/グルメカタログギフト+5000円/,"グルメ,カタログギフト,万人向け,選べる",80,true,
prod_006,THANN バス&ボディ トライアルギフトセット,タイ生まれのナチュラルスキンケアブランド。シャンプー・ボディケア5点セット、ギフトボックス入り。,5500,/images/products/organic-cosme.jpg,コスメ,"彼女,妻,母,友人女性","誕生日,クリスマス,ホワイトデー,母の日,記念日","5,000〜10,000円",https://www.amazon.co.jp/dp/B074PWCZZY,,"コスメ,オーガニック,スキンケア,女性向け,THANN",87,true,
prod_011,日比谷花壇 プリザーブドフラワー ギフト,プロのフローリストが手がける、長く楽しめるプリザーブドフラワーアレンジメント。,5500,/images/products/flower.jpg,花・植物,"彼女,妻,母,友人女性","誕生日,母の日,記念日,お礼","5,000〜10,000円",https://www.amazon.co.jp/gp/bestsellers/kitchen/10338333051,https://search.rakuten.co.jp/search/mall/プリザーブドフラワー+ギフト/,"花,フラワー,女性向け,華やか,プリザーブド",83,true,
prod_015,日本酒 純米大吟醸 飲み比べセット 300ml×5本,全国の銘酒を少量ずつ楽しめる、日本酒好きにはたまらないセット。ギフトボックス入り。,5500,/images/products/sake.jpg,グルメ,"父,上司,友人男性","誕生日,父の日,お礼,退職祝い","5,000〜10,000円",https://www.amazon.co.jp/s?rh=n%3A71610051%2Cp_n_style_browse-bin%3A2519093051,https://search.rakuten.co.jp/search/mall/日本酒+飲み比べ/,"グルメ,日本酒,お酒,男性向け,飲み比べ",81,true,
